pokedex_number,name,hp,attack,defense,sp_attack,sp_defense,speed,type1,type2,height_m,weight_kg,generation,is_legendary
780,Drampa,78,60,85,135,91,36,normal,dragon,3,185,7,0
781,Dhelmise,70,131,100,86,90,40,ghost,grass,3.9,210,7,0
782,Jangmo-o,45,55,65,45,45,45,dragon,,0.6,29.7,7,0
783,Hakamo-o,55,75,90,65,70,65,dragon,fighting,1.2,47,7,0
784,Kommo-o,75,110,125,100,105,85,dragon,fighting,1.6,78.2,7,0
785,Tapu Koko,70,115,85,95,75,130,electric,fairy,1.8,20.5,7,1
786,Tapu Lele,70,85,75,130,115,95,psychic,fairy,1.2,18.6,7,1
787,Tapu Bulu,70,130,115,85,95,75,grass,fairy,1.9,45.5,7,1
788,Tapu Fini,70,75,115,95,130,85,water,fairy,1.3,21.2,7,1
789,Cosmog,43,29,31,29,31,37,psychic,,0.2,0.1,7,1
790,Cosmoem,43,29,131,29,131,37,psychic,,0.1,999.9,7,1
791,Solgaleo,137,137,107,113,89,97,psychic,steel,3.4,230,7,1
792,Lunala,137,113,89,137,107,97,psychic,ghost,4,120,7,1
793,Nihilego,109,53,47,127,131,103,rock,poison,1.2,55.5,7,1
794,Buzzwole,107,139,139,53,53,79,bug,fighting,2.4,333.6,7,1
795,Pheromosa,71,137,37,137,37,151,bug,fighting,1.8,25,7,1
796,Xurkitree,83,89,71,173,71,83,electric,,3.8,100,7,1
797,Celesteela,97,101,103,107,101,61,steel,flying,9.2,999.9,7,1
798,Kartana,59,181,131,59,31,109,grass,steel,0.3,0.1,7,1
799,Guzzlord,223,101,53,97,53,43,dark,dragon,5.5,888,7,1
800,Necrozma,97,107,101,127,89,79,psychic,,2.4,230,7,1
801,Magearna,80,95,115,130,115,65,steel,fairy,1,80.5,7,1
