,#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
906,777,Togedemaru,Electric Steel,435,65,98,63,40,73,96
907,778,Mimikyu,Ghost Fairy,476,55,90,80,50,105,96
908,779,Bruxish,Water Psychic,475,68,105,70,70,70,92
909,780,Drampa,Normal Dragon,485,78,60,85,135,91,36
910,781,Dhelmise,Ghost Grass,517,70,131,100,86,90,40
911,782,Jangmo-o,Dragon,300,45,55,65,45,45,45
912,783,Hakamo-o,Dragon Fighting,420,55,75,90,65,70,65
913,784,Kommo-o,Dragon Fighting,600,75,110,125,100,105,85
914,785,Tapu Koko,Electric Fairy,570,70,115,85,95,75,130
915,786,Tapu Lele,Psychic Fairy,570,70,85,75,130,115,95
916,787,Tapu Bulu,Grass Fairy,570,70,130,115,85,95,75
917,788,Tapu Fini,Water Fairy,570,70,75,115,95,130,85
918,789,Cosmog,Psychic,200,43,29,31,29,31,37
919,790,Cosmoem,Psychic,400,43,29,131,29,131,37
920,791,Solgaleo,Psychic Steel,680,137,137,107,113,89,97
921,792,Lunala,Psychic Ghost,680,137,113,89,137,107,97
922,793,Nihilego,Rock Poison,570,109,53,47,127,131,103
923,794,Buzzwole,Bug Fighting,570,107,139,139,53,53,79
924,795,Pheromosa,Bug Fighting,570,71,137,37,137,37,151
925,796,Xurkitree,Electric,570,83,89,71,173,71,83
926,797,Celesteela,Steel Flying,570,97,101,103,107,101,61
927,798,Kartana,Grass Steel,570,59,181,131,59,31,109
928,799,Guzzlord,Dark Dragon,570,223,101,53,97,53,43
929,800,Necrozma,Psychic,600,97,107,101,127,89,79
930,800,Necrozma Dusk Mane Necrozma,Psychic Steel,680,97,157,127,113,109,77
931,800,Necrozma Dawn Wings Necrozma,Psychic Ghost,680,97,113,109,157,127,77
932,800,Necrozma Ultra Necrozma,Psychic Dragon,754,97,167,97,167,97,129
933,801,Magearna,Steel Fairy,600,80,95,115,130,115,65
934,802,Marshadow,Fighting Ghost,600,90,125,80,90,90,125
935,803,Poipole,Poison,420,67,73,67,73,67,73
936,804,Naganadel,Poison Dragon,540,73,73,73,127,73,121
937,805,Stakataka,Rock Steel,570,61,131,211,53,101,13
938,806,Blacephalon,Fire Ghost,570,53,127,53,151,79,107
939,807,Zeraora,Electric,600,88,112,75,102,80,143
940,808,Meltan,Steel,300,46,65,65,55,35,34
941,809,Melmetal,Steel,600,135,143,143,80,65,34
942,810,Grookey,Grass,310,50,65,50,40,40,65
943,811,Thwackey,Grass,420,70,85,70,55,60,80
944,812,Rillaboom,Grass,530,100,125,90,60,70,85
945,813,Scorbunny,Fire,310,50,71,40,40,40,69
946,814,Raboot,Fire,420,65,86,60,55,60,94
947,815,Cinderace,Fire,530,80,116,75,65,75,119
948,816,Sobble,Water,310,50,40,40,70,40,70
949,817,Drizzile,Water,420,65,60,55,95,55,90
950,818,Inteleon,Water,530,70,85,65,125,65,120
951,819,Skwovet,Normal,275,70,55,55,35,35,25
952,820,Greedent,Normal,460,120,95,95,55,75,20
953,821,Rookidee,Flying,245,38,47,35,33,35,57
954,822,Corvisquire,Flying,365,68,67,55,43,55,77
955,823,Corviknight,Flying Steel,495,98,87,105,53,85,67
956,824,Blipbug,Bug,180,25,20,20,25,45,45
957,825,Dottler,Bug Psychic,335,50,35,80,50,90,30
958,826,Orbeetle,Bug Psychic,505,60,45,110,80,120,90
959,827,Nickit,Dark,245,40,28,28,47,52,50
960,828,Thievul,Dark,455,70,58,58,87,92,90
961,829,Gossifleur,Grass,250,40,40,60,40,60,10
962,830,Eldegoss,Grass,460,60,50,90,80,120,60
963,831,Wooloo,Normal,270,42,40,55,40,45,48
964,832,Dubwool,Normal,490,72,80,100,60,90,88
965,833,Chewtle,Water,284,50,64,50,38,38,44
966,834,Drednaw,Water Rock,485,90,115,90,48,68,74
967,835,Yamper,Electric,270,59,45,50,40,50,26
968,836,Boltund,Electric,490,69,90,60,90,60,121
969,837,Rolycoly,Rock,240,30,40,50,40,50,30
970,838,Carkol,Rock Fire,410,80,60,90,60,70,50
971,839,Coalossal,Rock Fire,510,110,80,120,80,90,30
972,840,Applin,Grass Dragon,260,40,40,80,40,40,20
973,841,Flapple,Grass Dragon,485,70,110,80,95,60,70
974,842,Appletun,Grass Dragon,485,110,85,80,100,80,30
975,843,Silicobra,Ground,315,52,57,75,35,50,46
976,844,Sandaconda,Ground,510,72,107,125,65,70,71
977,845,Cramorant,Flying Water,475,70,85,55,85,95,85
978,846,Arrokuda,Water,280,41,63,40,40,30,66
979,847,Barraskewda,Water,490,61,123,60,60,50,136
980,848,Toxel,Electric Poison,242,40,38,35,54,35,40
981,849,Toxtricity Low Key Form,Electric Poison,502,75,98,70,114,70,75
982,849,Toxtricity Amped Form,Electric Poison,502,75,98,70,114,70,75
983,850,Sizzlipede,Fire Bug,305,50,65,45,50,50,45
984,851,Centiskorch,Fire Bug,525,100,115,65,90,90,65
985,852,Clobbopus,Fighting,310,50,68,60,50,50,32
986,853,Grapploct,Fighting,480,80,118,90,70,80,42
987,854,Sinistea,Ghost,308,40,45,45,74,54,50
988,855,Polteageist,Ghost,508,60,65,65,134,114,70
989,856,Hatenna,Psychic,265,42,30,45,56,53,39
990,857,Hattrem,Psychic,370,57,40,65,86,73,49
991,858,Hatterene,Psychic Fairy,510,57,90,95,136,103,29
992,859,Impidimp,Dark Fairy,265,45,45,30,55,40,50
993,860,Morgrem,Dark Fairy,370,65,60,45,75,55,70
994,861,Grimmsnarl,Dark Fairy,510,95,120,65,95,75,60
995,862,Obstagoon,Dark Normal,520,93,90,101,60,81,95
996,863,Perrserker,Steel,440,70,110,100,50,60,50
997,864,Cursola,Ghost,510,60,95,50,145,130,30
998,865,Sirfetch'd,Fighting,507,62,135,95,68,82,65
999,866,Mr. Rime,Psychic Ice,520,80,85,75,110,100,70
1000,867,Runerigus,Ground Ghost,483,58,95,145,50,105,30
1001,868,Milcery,Fairy,270,45,40,40,50,61,34
1002,869,Alcremie,Fairy,495,65,60,75,110,121,64
1003,870,Falinks,Fighting,470,65,100,100,70,60,75
1004,871,Pincurchin,Electric,435,48,101,95,91,85,15
1005,872,Snom,Ice Bug,185,30,25,35,45,30,20
1006,873,Frosmoth,Ice Bug,475,70,65,60,125,90,65
1007,874,Stonjourner,Rock,470,100,125,135,20,20,70
1008,875,Eiscue Ice Face,Ice,470,75,80,110,65,90,50
1009,875,Eiscue Noice Face,Ice,470,75,80,70,65,50,130
1010,876,Indeedee Male,Psychic Normal,475,60,65,55,105,95,95
1011,876,Indeedee Female,Psychic Normal,475,70,55,65,95,105,85
1012,877,Morpeko Full Belly Mode,Electric Dark,436,58,95,58,70,58,97
1013,877,Morpeko Hangry Mode,Electric Dark,436,58,95,58,70,58,97
1014,878,Cufant,Steel,330,72,80,49,40,49,40
1015,879,Copperajah,Steel,500,122,130,69,80,69,30
1016,880,Dracozolt,Electric Dragon,505,90,100,90,80,70,75
1017,881,Arctozolt,Electric Ice,505,90,100,90,90,80,55
1018,882,Dracovish,Water Dragon,505,90,90,100,70,80,75
1019,883,Arctovish,Water Ice,505,90,90,100,80,90,55
1020,884,Duraludon,Steel Dragon,535,70,95,115,120,50,85
1021,885,Dreepy,Dragon Ghost,270,28,60,30,40,30,82
1022,886,Drakloak,Dragon Ghost,410,68,80,50,60,50,102
1023,887,Dragapult,Dragon Ghost,600,88,120,75,100,75,142
1024,888,Zacian Crowned Sword,Fairy Steel,720,92,170,115,80,115,148
1025,888,Zacian Hero of Many Battles,Fairy,670,92,130,115,80,115,138
1026,889,Zamazenta Crowned Shield,Fighting Steel,720,92,130,145,80,145,128
1027,889,Zamazenta Hero of Many Battles,Fighting,670,92,130,115,80,115,138
1028,890,Eternatus,Poison Dragon,690,140,85,95,145,95,130
1029,890,Eternatus Eternamax,Poison Dragon,1125,255,115,250,125,250,130
1030,891,Kubfu,Fighting,385,60,90,60,53,50,72
1031,892,Urshifu Single Strike Style,Fighting Dark,550,100,130,100,63,60,97
1032,892,Urshifu Rapid Strike Style,Fighting Water,550,100,130,100,63,60,97
1033,893,Zarude,Dark Grass,600,105,120,105,70,95,105
